key,text,tag,file,type,protected_text,translated
entry.gui.colonistbar.tooltip,The colonist bar along the top of the screen,entry.gui.colonistbar.tooltip,English.xml,keyed,The colonist bar along the top of the screen,屏幕顶部的殖民者栏
entry.gui.dotabs,Do Tabs,entry.gui.dotabs,English.xml,keyed,Do Tabs,做标签
entry.gui.dotabs.tooltip,The inspect pane which opens up upon selecting a thing,entry.gui.dotabs.tooltip,English.xml,keyed,The inspect pane which opens up upon selecting a thing,选择某事物后打开的检查窗格
entry.gui.gamecomponent,Game Component OnGUI,entry.gui.gamecomponent,English.xml,keyed,Game Component OnGUI,游戏组件 OnGUI
entry.gui.gamecomponent.tooltip,The GUI methods for each gamecomponent,entry.gui.gamecomponent.tooltip,English.xml,keyed,The GUI methods for each gamecomponent,每个游戏组件的 GUI 方法
entry.gui.resourcereadout,Resource Readout OnGUI,entry.gui.resourcereadout,English.xml,keyed,Resource Readout OnGUI,GUI 上的资源读出
entry.gui.resourcereadout.tooltip,The UI function for the resource readout on the left of the screen,entry.gui.resourcereadout.tooltip,English.xml,keyed,The UI function for the resource readout on the left of the screen,屏幕左侧资源读出的 UI 功能
entry.gui.uiroot,UI Root OnGUI,entry.gui.uiroot,English.xml,keyed,UI Root OnGUI,UI 根 OnGUI
entry.gui.uiroot.tooltip,"A variety of OnGUI methods for various types, including; UIRoot_Play, WindowStack, AlertsReadout, MainButtonsRoot",entry.gui.uiroot.tooltip,English.xml,keyed,"A variety of OnGUI methods for various types, including; UIRoot_Play, WindowStack, AlertsReadout, MainButtonsRoot",适用于各种类型的多种 OnGUI 方法，包括； UIRoot_Play、WindowStack、AlertsReadout、MainButtonsRoot
entry.gui.windowstack,Window Stack OnGUI,entry.gui.windowstack,English.xml,keyed,Window Stack OnGUI,OnGUI 窗口堆栈
entry.gui.windowstack.tooltip,"The OnGUI method for the window stack, should show profiling for all active windows",entry.gui.windowstack.tooltip,English.xml,keyed,"The OnGUI method for the window stack, should show profiling for all active windows",窗口堆栈的 OnGUI 方法应显示所有活动窗口的分析
entry.gui.thingoverlay.ongui,ThingOverlayONGUI,entry.gui.thingoverlay.ongui,English.xml,keyed,ThingOverlayONGUI,ThingOverlayONGUI
entry.gui.thingoverlay.ongui.tooltip,Thing overlay ONGUI,entry.gui.thingoverlay.ongui.tooltip,English.xml,keyed,Thing overlay ONGUI,事物覆盖ONGUI
entry.tick.jobdriver,Job Drivers,entry.tick.jobdriver,English.xml,keyed,Job Drivers,工作驱动因素
entry.tick.jobdriver.tooltip,A breakdown of what is occuring in each job as it is being executed by a pawn,entry.tick.jobdriver.tooltip,English.xml,keyed,A breakdown of what is occuring in each job as it is being executed by a (PH_1),每个作业由 pawn 执行时发生的情况的详细信息
entry.tick.single,Single Tick,entry.tick.single,English.xml,keyed,Single Tick,单勾
entry.tick.single.tooltip,"A variety of tick methods, including; World, History, FilthMonitor, Storyteller",entry.tick.single.tooltip,English.xml,keyed,"A variety of tick methods, including; World, History, FilthMonitor, Storyteller",多种勾选方法，包括；世界、历史、FilthMonitor、讲故事的人
entry.tick.thingcomp,Thing Comps,entry.tick.thingcomp,English.xml,keyed,Thing Comps,事物比较
entry.tick.thingcomp.tooltip,"Thing comps, these can be added to any ThingWithComp, this collects them all into one category",entry.tick.thingcomp.tooltip,English.xml,keyed,"Thing comps, these can be added to any ThingWithComp, this collects them all into one category",事物组合，这些可以添加到任何 ThingWithComp，这会将它们全部收集到一个类别中
entry.tick.pathfinder,Pathfinding,entry.tick.pathfinder,English.xml,keyed,Pathfinding,寻路
entry.tick.pathfinder.tooltip,Shows a variety of methods which are used in pathfinding,entry.tick.pathfinder.tooltip,English.xml,keyed,Shows a variety of methods which are used in pathfinding,显示寻路中使用的各种方法
entry.tick.gamecomponent,Game Component Tick,entry.tick.gamecomponent,English.xml,keyed,Game Component Tick,游戏组件勾选
entry.tick.gamecomponent.tooltip,The Tick methods for each gamecomponent,entry.tick.gamecomponent.tooltip,English.xml,keyed,The Tick methods for each gamecomponent,每个游戏组件的 Tick 方法
entry.tick.lord,Lords,entry.tick.lord,English.xml,keyed,Lords,上议院
entry.tick.lord.tooltip,"Lords are used for group AI, like weddings, raids, traders etc",entry.tick.lord.tooltip,English.xml,keyed,"Lords are used for group AI, like weddings, raids, traders etc",领主用于群体人工智能，如婚礼、突袭、商人等
entry.tick.stats,Statistics,entry.tick.stats,English.xml,keyed,Statistics,统计数据
entry.tick.stats.tooltip,A variety of methods which are used to calculate and looking up stat-based values,entry.tick.stats.tooltip,English.xml,keyed,A variety of methods which are used to calculate and looking up stat-based values,多种用于计算和查找基于统计的值的方法
entry.tick.mapcomponent,Map Component Tick,entry.tick.mapcomponent,English.xml,keyed,Map Component Tick,地图组件勾选
entry.tick.mapcomponent.tooltip,The Tick method for Map Components,entry.tick.mapcomponent.tooltip,English.xml,keyed,The Tick method for Map Components,地图组件的 Tick 方法
entry.tick.needs,Needs,entry.tick.needs,English.xml,keyed,Needs,需求
entry.tick.needs.tooltip,Shows a variety of methods which are used in Needs calculations,entry.tick.needs.tooltip,English.xml,keyed,Shows a variety of methods which are used in Needs calculations,显示需求计算中使用的各种方法
entry.tick.pawngen,Pawn Generation,entry.tick.pawngen,English.xml,keyed,Pawn Generation,典当一代
entry.tick.pawngen.tooltip,Shows methods around PawnGen and generation of pawns for raids,entry.tick.pawngen.tooltip,English.xml,keyed,Shows methods around PawnGen and generation of pawns for raids,展示有关 PawnGen 的方法以及用于袭击的 pawn 生成
entry.tick.pawn,Pawn Tick,entry.tick.pawn,English.xml,keyed,Pawn Tick,典当蜱虫
entry.tick.pawn.tooltip,"The variety of methods which are called on Pawn:Tick, including a variety of trackers",entry.tick.pawn.tooltip,English.xml,keyed,"The variety of methods which are called on Pawn:Tick, including a variety of trackers",Pawn:Tick 上调用的各种方法，包括各种跟踪器
entry.tick.room,Rooms,entry.tick.room,English.xml,keyed,Rooms,客房
entry.tick.room.tooltip,The method which is responsible for the updating of room stats,entry.tick.room.tooltip,English.xml,keyed,The method which is responsible for the updating of room stats,负责更新房间统计信息的方法
entry.tick.storyteller,Storyteller and Incidents,entry.tick.storyteller,English.xml,keyed,Storyteller and Incidents,讲故事的人和事件
entry.tick.storyteller.tooltip,A variety of methods relating to both incident and quest generation,entry.tick.storyteller.tooltip,English.xml,keyed,A variety of methods relating to both incident and quest generation,与事件和任务生成相关的多种方法
entry.tick.thinknodes,ThinkNodes,entry.tick.thinknodes,English.xml,keyed,ThinkNodes,思考节点
entry.tick.thinknodes.tooltip,"ThinkNodes are basically sets of general job givers filtered in an ai tree, like satisfying needs, optimizing apparel, fleeing, work is all combined in a single JobGiver_Work which can be individually profiled by looking at the Work Giver profiler tab",entry.tick.thinknodes.tooltip,English.xml,keyed,"ThinkNodes are basically sets of general job givers filtered in an ai tree, like satisfying needs, optimizing apparel, fleeing, work is all combined in a single JobGiver_Work which can be individually profiled by looking at the Work Giver profiler tab",ThinkNode 基本上是在 ai 树中过滤的一般工作提供者的集合，例如满足需求、优化服装、逃离，工作全部组合在单个 JobGiver_Work 中，可以通过查看“工作提供者分析器”选项卡来单独分析该工作提供者
entry.tick.things,Tick Things,entry.tick.things,English.xml,keyed,Tick Things,勾选事物
entry.tick.things.tooltip,Profiles the ticking methods of various things on the map,entry.tick.things.tooltip,English.xml,keyed,Profiles the ticking methods of various things on the map,描述地图上各种事物的勾选方法
entry.tick.jobgiver,Job Giver,entry.tick.jobgiver,English.xml,keyed,Job Giver,工作给予者
entry.tick.jobgiver.tooltip,"All jobs which are manually looked for in the pawns thinktree, this includes work like satisfying needs, fleeing from danger, improving worn apparel etc",entry.tick.jobgiver.tooltip,English.xml,keyed,"All jobs which are manually looked for in the pawns thinktree, this includes work like satisfying needs, fleeing from danger, improving worn apparel etc",所有在棋子思维树中手动寻找的工作，包括满足需求、逃离危险、改进磨损的服装等工作
entry.tick.workgiver,Work Giver,entry.tick.workgiver,English.xml,keyed,Work Giver,工作给予者
entry.tick.workgiver.tooltip,"Work Giver is only jobs done for work, that means all the jobs listed in the Work tab, this does not include jobs run by the ai for things like satisfying needs or optimizing apparel, those can be found in the ThinkNodes profile tab",entry.tick.workgiver.tooltip,English.xml,keyed,"Work Giver is only jobs done for work, that means all the jobs listed in the Work tab, this does not include jobs run by the ai for things like satisfying needs or optimizing apparel, those can be found in the ThinkNodes profile tab",Work Giver 仅是为工作而完成的工作，这意味着“工作”选项卡中列出的所有工作，这不包括人工智能为满足需求或优化服装等而运行的工作，这些工作可以在 ThinkNodes 配置文件选项卡中找到
entry.tick.world,World Tick,entry.tick.world,English.xml,keyed,World Tick,世界蜱虫
entry.tick.world.tooltip,"Tick methods for various world entries, such as; WorldPawns, Factions, Caravans",entry.tick.world.tooltip,English.xml,keyed,"Tick methods for various world entries, such as; WorldPawns, Factions, Caravans",各种世界条目的勾选方法，例如； WorldPawns、派系、商队
entry.update.alert,Alerts,entry.update.alert,English.xml,keyed,Alerts,警报
entry.update.alert.tooltip,The recalculate and draw methods for Alerts,entry.update.alert.tooltip,English.xml,keyed,The recalculate and draw methods for Alerts,Alerts 的重新计算和绘制方法
entry.update.dynamicdraw,Draw Dynamic Things,entry.update.dynamicdraw,English.xml,keyed,Draw Dynamic Things,绘制动态事物
entry.update.dynamicdraw.tooltip,The draw method for things which are drawn via the DynamicDrawManager,entry.update.dynamicdraw.tooltip,English.xml,keyed,The draw method for things which are drawn via the DynamicDrawManager,通过 DynamicDrawManager 绘制的事物的绘制方法
entry.update.gamecomponent,Game Component Update,entry.update.gamecomponent,English.xml,keyed,Game Component Update,游戏组件更新
entry.update.gamecomponent.tooltip,The Update method for each gamecomponent,entry.update.gamecomponent.tooltip,English.xml,keyed,The Update method for each gamecomponent,每个游戏组件的 Update 方法
